"","countyFIPS","county","state","stateFIPS","cases"
"1",1,"New York City Unallocated/Probable","NY",36,0
"2",1001,"Autauga County","AL",1,644
"3",1005,"Barbour County","AL",1,360
"4",1007,"Bibb County","AL",1,199
"5",1009,"Blount County","AL",1,255
"6",1011,"Bullock County","AL",1,373
"7",1013,"Butler County","AL",1,634
"8",1015,"Calhoun County","AL",1,395
"9",1017,"Chambers County","AL",1,656
"10",1019,"Cherokee County","AL",1,106
"11",1021,"Chilton County","AL",1,270
"12",1023,"Choctaw County","AL",1,198
"13",1025,"Clarke County","AL",1,284
"14",1027,"Clay County","AL",1,69
"15",1029,"Cleburne County","AL",1,39
"16",1031,"Coffee County","AL",1,391
"17",1035,"Conecuh County","AL",1,219
"18",1037,"Coosa County","AL",1,59
"19",1039,"Covington County","AL",1,380
"20",1041,"Crenshaw County","AL",1,129
"21",1043,"Cullman County","AL",1,478
"22",1045,"Dale County","AL",1,305
"23",1047,"Dallas County","AL",1,918
"24",1049,"DeKalb County","AL",1,770
"25",1051,"Elmore County","AL",1,975
"26",1053,"Escambia County","AL",1,411
"27",1055,"Etowah County","AL",1,801
"28",1057,"Fayette County","AL",1,75
"29",1059,"Franklin County","AL",1,907
"30",1061,"Geneva County","AL",1,84
"31",1063,"Greene County","AL",1,186
"32",1067,"Henry County","AL",1,137
"33",1069,"Houston County","AL",1,525
"34",1071,"Jackson County","AL",1,306
"35",1073,"Jefferson County","AL",1,5538
"36",1075,"Lamar County","AL",1,81
"37",1077,"Lauderdale County","AL",1,503
"38",1079,"Lawrence County","AL",1,112
"39",1081,"Lee County","AL",1,1459
"40",1083,"Limestone County","AL",1,523
"41",1085,"Lowndes County","AL",1,482
"42",1087,"Macon County","AL",1,203
"43",1089,"Madison County","AL",1,1579
"44",1091,"Marengo County","AL",1,319
"45",1095,"Marshall County","AL",1,1781
"46",1097,"Mobile County","AL",1,4243
"47",1099,"Monroe County","AL",1,243
"48",1101,"Montgomery County","AL",1,4293
"49",1103,"Morgan County","AL",1,1142
"50",1105,"Perry County","AL",1,179
"51",1107,"Pickens County","AL",1,241
