"","countyFIPS","county","state","stateFIPS","deaths"
"1",1001,"Autauga County","AL",1,13
"2",1003,"Baldwin County","AL",1,10
"3",1005,"Barbour County","AL",1,2
"4",1007,"Bibb County","AL",1,1
"5",1009,"Blount County","AL",1,1
"6",1011,"Bullock County","AL",1,11
"7",1013,"Butler County","AL",1,28
"8",1015,"Calhoun County","AL",1,5
"9",1017,"Chambers County","AL",1,27
"10",1019,"Cherokee County","AL",1,7
"11",1021,"Chilton County","AL",1,3
"12",1023,"Choctaw County","AL",1,12
"13",1025,"Clarke County","AL",1,6
"14",1027,"Clay County","AL",1,2
"15",1029,"Cleburne County","AL",1,1
"16",1031,"Coffee County","AL",1,3
"17",1033,"Colbert County","AL",1,6
"18",1035,"Conecuh County","AL",1,7
"19",1037,"Coosa County","AL",1,1
"20",1039,"Covington County","AL",1,8
"21",1041,"Crenshaw County","AL",1,3
"22",1043,"Cullman County","AL",1,5
"23",1045,"Dale County","AL",1,0
"24",1047,"Dallas County","AL",1,9
"25",1049,"DeKalb County","AL",1,5
"26",1051,"Elmore County","AL",1,15
"27",1053,"Escambia County","AL",1,8
"28",1055,"Etowah County","AL",1,13
"29",1057,"Fayette County","AL",1,1
"30",1059,"Franklin County","AL",1,16
"31",1061,"Geneva County","AL",1,0
"32",1063,"Greene County","AL",1,8
"33",1065,"Hale County","AL",1,21
"34",1067,"Henry County","AL",1,4
"35",1069,"Houston County","AL",1,8
"36",1071,"Jackson County","AL",1,3
"37",1073,"Jefferson County","AL",1,157
"38",1075,"Lamar County","AL",1,1
"39",1077,"Lauderdale County","AL",1,6
"40",1079,"Lawrence County","AL",1,0
"41",1081,"Lee County","AL",1,38
"42",1083,"Limestone County","AL",1,1
"43",1085,"Lowndes County","AL",1,23
"44",1087,"Macon County","AL",1,9
"45",1089,"Madison County","AL",1,9
"46",1091,"Marengo County","AL",1,11
"47",1093,"Marion County","AL",1,13
"48",1095,"Marshall County","AL",1,11
"49",1097,"Mobile County","AL",1,140
"50",1099,"Monroe County","AL",1,3
"51",1101,"Montgomery County","AL",1,107
"52",1103,"Morgan County","AL",1,5
"53",1105,"Perry County","AL",1,1
"54",1107,"Pickens County","AL",1,6
"55",1109,"Pike County","AL",1,5
"56",1111,"Randolph County","AL",1,9
"57",1113,"Russell County","AL",1,0
"58",1115,"St. Clair County","AL",1,2
"59",1117,"Shelby County","AL",1,24
"60",1119,"Sumter County","AL",1,12
"61",1121,"Talladega County","AL",1,8
"62",1123,"Tallapoosa County","AL",1,70
"63",1125,"Tuscaloosa County","AL",1,46
"64",1127,"Walker County","AL",1,25
"65",1129,"Washington County","AL",1,7
"66",1131,"Wilcox County","AL",1,8
"67",1133,"Winston County","AL",1,3
"68",2013,"Aleutians East Borough","AK",2,0
"69",2016,"Aleutians West Census Area","AK",2,0
"70",2020,"Municipality of Anchorage","AK",2,6
"71",2050,"Bethel Census Area","AK",2,0
"72",2060,"Bristol Bay Borough","AK",2,0
"73",2068,"Denali Borough","AK",2,0
"74",2070,"Dillingham Census Area","AK",2,0
"75",2090,"Fairbanks North Star Borough","AK",2,2
"76",2100,"Haines Borough","AK",2,0
"77",2105,"Hoonah-Angoon Census Area","AK",2,0
"78",2110,"City and Borough of Juneau","AK",2,0
"79",2122,"Kenai Peninsula Borough","AK",2,2
