"","state","county","fips","total","white","black","native","asian","two","non_white","white_prop","black_prop","native_prop","asian_prop","two_prop","non_white_prop"
"1","Alabama","Autauga County",1001,55869,42607,11237,324,656,1045,13262,0.762623279457302,0.201131217669906,0.00579928045964667,0.0117417530294081,0.018704469383737,0.237376720542698
"2","Alabama","Baldwin County",1003,223234,195198,19593,1896,2380,4167,28036,0.874409812125393,0.0877688882517896,0.00849332986910596,0.0106614583799959,0.0186665113737155,0.125590187874607
"3","Alabama","Barbour County",1005,24686,12134,11906,222,116,308,12552,0.491533662804829,0.482297658591914,0.00899295147046909,0.00469901968727213,0.0124767074455157,0.508466337195171
"4","Alabama","Bibb County",1007,22394,17191,4763,129,48,263,5203,0.767660980619809,0.21269089934804,0.00576047155488077,0.0021434312762347,0.011744217201036,0.232339019380191
"5","Alabama","Blount County",1009,57826,55412,978,437,185,814,2414,0.958254072562515,0.0169128073876803,0.00755715422128454,0.00319925293120741,0.0140767128973126,0.0417459274374849
"6","Alabama","Bullock County",1011,10101,2689,7097,161,21,133,7412,0.266211266211266,0.702603702603703,0.0159390159390159,0.00207900207900207,0.0131670131670132,0.733788733788734
"7","Alabama","Butler County",1013,19448,10127,8747,85,279,210,9321,0.52072192513369,0.449763471822295,0.00437062937062937,0.0143459481694776,0.0107980255039079,0.47927807486631
"8","Alabama","Calhoun County",1015,113605,85322,24213,732,1024,2314,28283,0.751040887284891,0.213133224770037,0.00644337837243079,0.00901368777782668,0.0203688217948154,0.248959112715109
"9","Alabama","Chambers County",1017,33254,18970,13365,124,374,421,14284,0.570457689300535,0.401906537559391,0.00372887472183797,0.0112467673061887,0.0126601311120467,0.429542310699465
"10","Alabama","Cherokee County",1019,26196,24409,1073,189,103,422,1787,0.931783478393648,0.0409604519774011,0.00721484196060467,0.00393189799969461,0.0161093296686517,0.0682165216063521
"11","Alabama","Chilton County",1021,44428,38677,4596,327,217,611,5751,0.870554605203925,0.103448275862069,0.00736022328261456,0.00488430719366165,0.0137525884577294,0.129445394796075
"12","Alabama","Choctaw County",1023,12589,7191,5255,26,25,92,5398,0.571212963698467,0.417427913257606,0.00206529509889586,0.00198586067201525,0.00730796727301612,0.428787036301533
"13","Alabama","Clarke County",1025,23622,12518,10635,138,103,228,11104,0.52992972652612,0.450215900431801,0.00584201168402336,0.00436034205401744,0.0096520193040386,0.47007027347388
"14","Alabama","Clay County",1027,13235,11015,1824,75,38,283,2220,0.832262939176426,0.137816395919909,0.005666792595391,0.00287117491499811,0.0213826973932754,0.167737060823574
"15","Alabama","Cleburne County",1029,14910,14176,424,90,33,187,734,0.950771294433266,0.0284372904091214,0.00603621730382293,0.00221327967806841,0.012541918175721,0.0492287055667337
"16","Alabama","Coffee County",1031,52342,39669,9216,940,878,1639,12673,0.75788086049444,0.176072752283061,0.017958809369149,0.0167742921554392,0.0313132856979099,0.24211913950556
"17","Alabama","Colbert County",1033,55241,44440,8959,422,374,1046,10801,0.804474937093825,0.162180264658496,0.00763925345305117,0.00677033362900744,0.0189352111656197,0.195525062906175
"18","Alabama","Conecuh County",1035,12067,6245,5560,70,28,164,5822,0.51752714013425,0.460760752465401,0.00580094472528383,0.00232037789011353,0.0135907847849507,0.48247285986575
"19","Alabama","Coosa County",1037,10663,7118,3294,83,18,150,3545,0.667541967551346,0.308918690799962,0.00778392572446778,0.00168808027759542,0.0140673356466285,0.332458032448654
"20","Alabama","Covington County",1039,37049,31311,4638,284,186,630,5738,0.845124024939944,0.125185565062485,0.00766552403573645,0.00502037841777106,0.0170045075440633,0.154875975060056
"21","Alabama","Crenshaw County",1041,13772,9939,3289,97,152,295,3833,0.721681672959628,0.238817891373802,0.00704327621260528,0.0110368864362475,0.0214202730177171,0.278318327040372
"22","Alabama","Cullman County",1043,83768,80188,1156,607,607,1210,3580,0.957262916626874,0.0138000191003725,0.00724620380097411,0.00724620380097411,0.0144446566708051,0.0427370833731258
"23","Alabama","Dale County",1045,49172,36273,10314,511,713,1361,12899,0.737675913121289,0.209753518262426,0.0103920930610917,0.0145001220206622,0.0276783535345318,0.262324086878711
"24","Alabama","Dallas County",1047,37196,10259,26300,131,167,339,26937,0.27580922679858,0.707065275836111,0.00352188407355629,0.00448973007850306,0.00911388321324873,0.72419077320142
"25","Alabama","DeKalb County",1049,71513,66303,1340,1880,371,1619,5210,0.927146113294086,0.0187378518591025,0.0262889264888901,0.0051878679400948,0.0226392404178261,0.0728538867059136
"26","Alabama","Elmore County",1051,81209,61461,17179,505,610,1454,19748,0.756824982452684,0.211540592791439,0.00621852257754682,0.00751148271743279,0.0179044194608972,0.243175017547316
"27","Alabama","Escambia County",1053,36633,22815,11450,1458,122,788,13818,0.622799115551552,0.312559713919144,0.0398001801654246,0.00333033057625638,0.0215106597876232,0.377200884448448
"28","Alabama","Etowah County",1055,102268,82501,16102,932,841,1892,19767,0.80671373254586,0.157449055423006,0.00911331012633472,0.00822349121914968,0.0185004106856495,0.19328626745414
"29","Alabama","Fayette County",1057,16302,13980,1901,79,78,264,2322,0.857563489142437,0.116611458716722,0.00484603116182063,0.00478468899521531,0.0161943319838057,0.142436510857563
"30","Alabama","Franklin County",1059,31362,28757,1373,590,114,528,2605,0.916937695300045,0.0437790957209362,0.0188125757285887,0.00363497225942223,0.0168356609910082,0.0830623046999554
"31","Alabama","Geneva County",1061,26271,22895,2445,312,92,527,3376,0.871493281565224,0.0930684024209204,0.0118762133150622,0.00350196033649271,0.0200601423623006,0.128506718434776
"32","Alabama","Greene County",1063,8111,1500,6482,31,23,75,6611,0.184934040192331,0.799161632351128,0.00382197016397484,0.00283565528294908,0.00924670200961657,0.815065959807669
"33","Alabama","Hale County",1065,14651,5963,8500,41,44,103,8688,0.407002934953246,0.580165176438468,0.00279844379223261,0.00300320797215207,0.00703023684390144,0.592997065046755
