raw_row_number,date,time,location,beat,subject_age,subject_race,subject_sex,department_id,department_name,type,violation,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_make,vehicle_year,raw_DriverRace,raw_ReasonForStop,raw_TypeOfMovingViolation,raw_ResultOfStop
11249760,1/1/17,16:13:00,60618,77,NA,black,male,13178,EVANSTON POLICE,vehicular,Moving Violation: Speed,TRUE,FALSE,citation,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,Moving Violation: Speed,GMC,2007,2,1,1,1
11249776,1/2/17,0:39:00,60619,77,NA,black,male,13178,EVANSTON POLICE,vehicular,Equipment,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,NA,Equipment,FORD,2006,2,2,0,3
11249857,1/4/17,1:19:00,60202,78,NA,black,male,13178,EVANSTON POLICE,vehicular,Equipment,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,NA,Equipment,CHEV,2000,2,2,0,3
11250071,1/9/17,15:07:00,60626,76,NA,asian/pacific islander,male,13178,EVANSTON POLICE,vehicular,Moving Violation: Seat Belt,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,NA,Moving Violation: Seat Belt,AUDI,2011,5,1,3,1
11250146,1/10/17,21:31:00,60202,77,NA,black,male,13178,EVANSTON POLICE,vehicular,Equipment,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,NA,Equipment,SATR,1999,2,2,0,3
11250166,1/11/17,7:04:00,60202,74,NA,white,female,13178,EVANSTON POLICE,vehicular,Moving Violation: Other,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,NA,Moving Violation: Other,HOND,2011,1,1,6,1
11250170,1/11/17,7:55:00,42729,76,NA,white,female,13178,EVANSTON POLICE,vehicular,Moving Violation: Traffic Sign or Signal,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,NA,Moving Violation: Traffic Sign or Signal,FORD,2015,1,1,4,3
11250301,1/13/17,16:01:00,60626,73,NA,black,male,13178,EVANSTON POLICE,vehicular,Moving Violation: Seat Belt,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,NA,Moving Violation: Seat Belt,TOYT,2007,2,1,3,1
11250375,1/15/17,12:57:00,60202,73,NA,black,male,13178,EVANSTON POLICE,vehicular,Moving Violation: Other,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,NA,Moving Violation: Other,VOLK,2007,2,1,6,1
11250414,1/16/17,8:54:00,60202,71,NA,hispanic,male,13178,EVANSTON POLICE,vehicular,Moving Violation: Other,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,NA,Moving Violation: Other,FORD,2004,4,1,6,1
11250430,1/16/17,15:30:00,60076,78,NA,black,female,13178,EVANSTON POLICE,vehicular,Moving Violation: Traffic Sign or Signal,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,NA,Moving Violation: Traffic Sign or Signal,LEXS,2004,2,1,4,3
